,cluster,top_categories
97,97,"[' Restaurants', ' Food', 'Bakeries', 'Diners', 'Breakfast & Brunch', ' Diners', 'Pet Services', ' Pet Groomers', ' Pet Boarding/Pet Sitting', 'Chinese']"
98,98,"[' Restaurants', 'Pizza', ' Salad', 'Vietnamese', 'Indian', ' Shopping', 'Sporting Goods', ' Bikes', 'Food', ' Pet Services']"
99,99,"['Home Services', ' Heating & Air Conditioning/HVAC']"
100,100,"[' Restaurants', 'American (New)', 'Seafood', 'American (Traditional)', 'Bars', ' Steakhouses', ' Wine Bars', ' Nightlife', ' Seafood', ' Italian']"
101,101,"[' Restaurants', 'Pizza', 'Breakfast & Brunch', ' Diners', 'Chinese', ' Sandwiches', ' Shopping', ' Fashion', 'Local Services', ' Shoe Repair']"
102,102,"['Cafes', ' Restaurants', ' General Dentistry', ' Dentists', 'Health & Medical', ' Italian', 'Restaurants']"
103,103,"[' Restaurants', 'Caribbean']"
104,104,"['Pubs', ' Restaurants', ' Bars', ' Nightlife', ' American (New)']"
105,105,"[' Restaurants', 'Pizza']"
106,106,"['Food', ' Wine & Spirits', ' Breweries', ' Beer', 'Animal Shelters', ' Pets', ' Food', 'Bakeries', ' Automotive', ' Self Storage']"
107,107,"['Bars', ' American (New)', ' American (Traditional)', ' Pubs', ' Nightlife', ' Restaurants']"
108,108,"[' Restaurants', ' American (Traditional)', 'Bars', ' Nightlife', ' Lebanese', 'Middle Eastern', ' Mediterranean', 'Pizza', ' Beauty & Spas', 'Barbers']"
109,109,"[' Restaurants', 'American (New)', 'Food', ' Breweries']"
110,110,"[' Public Services & Government', 'Landmarks & Historical Buildings']"
111,111,"['Bars', ' Nightlife', ' Restaurants', ' American (Traditional)', ' Sports Bars', 'Seafood', 'Food', ' American (New)', ' Grocery', ' Italian']"
112,112,"[' Beauty & Spas', 'Barbers']"
113,113,"[' Fitness & Instruction', ' Trainers', ' Martial Arts', ' Boot Camps', 'Active Life']"
114,114,"[' Automotive', 'Auto Repair']"
115,115,"[' Restaurants', ' Nightlife', 'Bars', ' American (New)', ' Sports Bars', ' Event Planning & Services', ' Caterers', 'Delis', 'Pizza', ' Escape Games']"
116,116,"[' Restaurants', 'Mexican', 'Food', ' Ice Cream & Frozen Yogurt']"
117,117,"['Food', ' Food Trucks', ' Food Stands', ' Restaurants']"
118,118,"[' Automotive', 'Oil Change Stations', 'Car Wash', 'Security Systems', ' Home Services', ' Hotels', ' Event Planning & Services', 'Hotels & Travel']"
119,119,"[' American (Traditional)', ' Breakfast & Brunch', 'Burgers', ' Restaurants', 'Restaurants', 'Food', ' Grocery', ' Fast Food', ' Shopping', ' Discount Store']"
120,120,"[' Restaurants', ' Breakfast & Brunch', 'Burgers', ' Diners', ' Education', 'Specialty Schools', ' Pizza', 'Italian', ' Caterers', 'Event Planning & Services']"
121,121,"['Libraries', ' Public Services & Government']"
122,122,"['Bars', ' Nightlife']"
123,123,"[' Venues & Event Spaces', 'Hotels & Travel', ' Event Planning & Services', ' Hotels', ' Shopping', 'Arts & Crafts', ' Knitting Supplies', ' Hobby Shops', 'Burgers', ' Fast Food']"
124,124,"['Local Services', ' Self Storage', ' Cooking Schools', ' Education', 'Specialty Schools', 'Active Life', 'Web Design', ' Advertising', ' Professional Services', ' Graphic Design']"
125,125,"[' Restaurants', 'Breakfast & Brunch', ' Cafes', ' French', ' Italian', 'Restaurants', 'Auto Repair', ' Automotive', 'Pizza']"
126,126,"[' Restaurants', 'Beauty & Spas', ' Nail Salons', ' Wine Bars', ' Salad', ' Italian', ' Nightlife', 'Bars', 'American (New)', ' Coffee & Tea']"
127,127,"[' Dog Walkers', ' Pets', 'Pet Services', ' Pet Boarding/Pet Sitting', ' Mass Media', 'Print Media']"
128,128,"[' Restaurants', 'American (Traditional)', 'Breakfast & Brunch', ' Diners', ' Chiropractors', 'Massage Therapy', ' Health & Medical', ' Physical Therapy', 'Local Services', ' Funeral Services & Cemeteries']"
129,129,"['American (Traditional)', ' Restaurants', ' Chicken Wings']"
130,130,"[' Trainers', ' Gyms', ' Fitness & Instruction', 'Active Life', 'Local Services', ' Health & Medical', 'Endodontists', ' Dentists', ' General Dentistry', ' Community Service/Non-Profit']"
131,131,"['Local Services', ' Community Service/Non-Profit', ' Gas & Service Stations', 'Automotive', 'Food', ' Grocery']"
132,132,"[' Restaurants', 'Seafood', ' Fish & Chips', ' Chicken Wings', 'Pizza']"
133,133,"[' Restaurants', 'Mexican', ' Caribbean', 'Pizza', ' Italian', 'Restaurants', ' Mexican', 'Caribbean', 'Hot Dogs']"
134,134,"[' Restaurants', 'Pizza']"
135,135,"['Pubs', ' Bars', ' Nightlife']"
136,136,"['Food', ' Ice Cream & Frozen Yogurt', 'Automotive', ' Gas & Service Stations']"
137,137,"[' Restaurants', ' American (Traditional)', 'Seafood', ' Steakhouses']"
138,138,"[' Restaurants', 'Asian Fusion', ' Chinese', ' Nightlife', ' American (Traditional)', 'Bars', ' American (New)', 'Seafood', ' Bars', 'Burgers']"
139,139,"['Hair Salons', ' Beauty & Spas', ' Drugstores', ' Convenience Stores', ' Shopping', ' Nail Salons', 'Beauty & Spas', ' Ice Cream & Frozen Yogurt', ' Pizza', 'Food']"
140,140,"[' Car Dealers', 'Automotive']"
141,141,"[' Restaurants', 'Indian', ' Tex-Mex', 'Mexican', 'Breakfast & Brunch', ' Beauty & Spas', ' Massage', ' Waxing', 'Skin Care', ' Hair Removal']"
142,142,"[' Home Services', 'Home Cleaning']"
143,143,"['Caterers', ' Event Planning & Services', ' Barbeque', ' Restaurants', ' Caterers', ' Party & Event Planning', 'Event Planning & Services', ' Heating & Air Conditioning/HVAC', 'Home Services', 'Indian']"
144,144,"[' Restaurants', 'Vietnamese', 'Pizza']"
145,145,"['Food', ' Distilleries']"
146,146,"['Food', ' Grocery', ' Event Planning & Services', ' Guest Houses', ' Venues & Event Spaces', 'Hotels & Travel']"
147,147,"[' Restaurants', 'Diners', 'Caterers', ' Italian', ' Event Planning & Services', ' Gas & Service Stations', 'Automotive', ' Heating & Air Conditioning/HVAC', 'Home Services', ' Nurseries & Gardening']"
148,148,"[' Real Estate', 'Home Services', ' Home Staging']"
149,149,"['American (Traditional)', ' Restaurants']"
150,150,"['Food', ' Street Vendors']"
151,151,"[' Restaurants', ' American (Traditional)', 'Bars', ' Nightlife']"
152,152,"[' Taxis', ' Transportation', 'Hotels & Travel']"
153,153,"[' Italian', 'Restaurants', ' Restaurants', 'Food', ' Coffee & Tea', ' Caterers', 'Event Planning & Services', ' Caribbean', 'Pizza', 'Seafood']"
154,154,"[' Hotels', ' Event Planning & Services', 'Hotels & Travel']"
155,155,"[' Contractors', 'Home Services']"
156,156,"[' Automotive', ' Gas & Service Stations', 'Car Wash']"
157,157,"['Museums', ' Art Galleries', ' Shopping', ' Arts & Entertainment']"
158,158,"['Bakeries', ' Food']"
159,159,"['Thrift Stores', ' Shopping', ' Bars', 'Pubs', ' Nightlife', 'Veterinarians', ' Pets']"
160,160,"[' Restaurants', ' Pizza', 'Italian', ' Nurseries & Gardening', ' Home & Garden', ' Shopping', 'Hardware Stores', ' Appliances']"
161,161,"[' Restaurants', 'Pizza', 'Thrift Stores', ' Shopping', ' Antiques', 'Shopping', ' Gas & Service Stations', 'Food', 'Automotive', ' Breweries']"
162,162,"['Bakeries', ' Cupcakes', ' Food', ' Coffee & Tea', 'Chinese', ' Restaurants']"
163,163,"[' Restaurants', 'Fast Food']"
164,164,"[' Restaurants', 'Burgers', ' Fast Food']"
165,165,"[' Restaurants', 'Pizza', ' Guns & Ammo', 'Shopping']"
166,166,"[' Car Rental', 'Hotels & Travel', ' Salad', 'Burgers', ' Restaurants', ' Pizza']"
167,167,"[' Restaurants', 'Belgian', 'Food', ' Coffee & Tea', ' Sandwiches', 'Veterinarians', ' Pets', ' Apartments', ' Real Estate', 'Home Services']"
168,168,"['Food', ' Beer', ' Wine & Spirits', ' Shopping', 'Arts & Crafts', ' Party & Event Planning', ' Event Planning & Services', ' Bars', ' Nightlife', 'Dive Bars']"
169,169,"[' Buffets', 'Seafood', ' Restaurants', ' Chinese', 'Buffets', 'Thrift Stores', ' Shopping']"
170,170,"[' Italian', 'Restaurants', 'American (Traditional)', ' Barbeque', ' Wine & Spirits', ' Fitness & Instruction', 'Active Life', ' Beer', 'Barbers', ' Beauty & Spas']"
171,171,"[' Restaurants', 'Cafes', ' Sandwiches', 'Pizza']"
172,172,"[' Body Shops', 'Automotive']"
173,173,"['Movers', ' Home Services']"
174,174,"['Bakeries', ' Food']"
175,175,"[' Restaurants', 'Pizza', 'Delis', ' Sandwiches', 'Shopping', ' Toy Stores', 'Chinese', 'Dive Bars', ' Pets', 'Pet Services']"
176,176,"[' Restaurants', 'American (New)', 'Sushi Bars', ' Chinese', ' Japanese', ' Italian', 'Restaurants', ' Car Dealers', 'Automotive', ' Shopping']"
177,177,"['Vitamins & Supplements', ' Shopping']"
178,178,"[' Health & Medical', ' Obstetricians & Gynecologists', 'Doctors']"
179,179,"['Hotels & Travel', ' Tours']"
180,180,"[' Italian', ' Sandwiches', 'Restaurants', ' Shopping', ' Fashion', 'Department Stores', 'Car Wash', ' Automotive', 'Pizza', ' Restaurants']"
181,181,"['Food', ' Coffee & Tea', 'Barbers', ' Shopping', 'Ski & Snowboard Shops', ' Beauty & Spas', ' Sporting Goods', 'Arts & Entertainment', ' Music Venues', ' Nightlife']"
182,182,"[' Italian', ' Pizza', 'Restaurants', 'Barbers', ' Beauty & Spas', 'Food', ' Donuts', ' Body Shops', ' Automotive', 'Auto Repair']"
183,183,"['Bakeries', ' Food']"
184,184,['']
185,185,"[' Ice Cream & Frozen Yogurt', 'Food', ' Fast Food', ' Restaurants', ' Nurseries & Gardening', 'Shopping', ' Florists', ' Flowers & Gifts', ' Home & Garden', ' Italian']"
186,186,"[' Automotive', ' Auto Parts & Supplies', ' Car Dealers', 'Auto Repair']"
187,187,['Restaurants']
188,188,"['German', ' Food', ' Event Planning & Services', ' Breweries', ' Restaurants', ' Venues & Event Spaces']"
189,189,"[' Hiking', 'Active Life']"
190,190,"[' Italian', 'Restaurants', ' Pizza', ' Dry Cleaning & Laundry', ' Sewing & Alterations', 'Local Services', ' Restaurants', 'Pizza']"
191,191,"[' Dog Parks', ' Parks', 'Active Life']"
192,192,"[' Restaurants', 'Pizza']"
193,193,"[' Musical Instruments & Teachers', ' Shopping', ' Musical Instrument Services', 'Local Services', ' Guitar Stores', ' Gyms', ' Fitness & Instruction', ' Trainers', 'Active Life']"
194,194,"['Local Services', ' Appliances & Repair', 'Restaurants', ' Home & Garden', ' Shopping', 'Hardware Stores', 'Bakeries', ' Food', 'Chinese', ' Restaurants']"
195,195,"[' Restaurants', ' Diners', 'Sandwiches', 'Thrift Stores', ' Shopping', 'Chinese', ' Home Decor', ' Home & Garden', ' Furniture Stores', ' Italian']"
196,196,"[' Appliances & Repair', 'Local Services']"
197,197,"[' Restaurants', 'Pizza', 'Tattoo', ' Beauty & Spas', ' Piercing', 'Sandwiches']"
198,198,"['Pubs', ' Bars', ' Nightlife']"
199,199,"[' Dog Parks', ' Parks', 'Active Life']"
200,200,"[' Home & Garden', 'Shopping', ' Furniture Stores']"
201,201,"[' Restaurants', 'Middle Eastern', ' Mediterranean', ' Pizza', 'Italian', ' Ice Cream & Frozen Yogurt', ' Desserts', ' Shaved Ice', 'Food', ' Nail Salons']"
202,202,"[' Restaurants', 'Thai', ' Italian', 'Restaurants', 'Belgian', 'Food', ' Coffee & Tea', ' Cafes', 'Japanese', ' Education']"
203,203,"[' Restaurants', 'Diners', 'Pizza', ' Salad', ' Sandwiches', 'Restaurants', ' Shopping', 'Flowers & Gifts', ' Florists', 'Food']"
204,204,"[' Mini Golf', 'Active Life', ' Golf', ' Restaurants', 'American (New)']"
205,205,"['Restaurants', 'Fast Food', 'Food', ' Donuts', ' Coffee & Tea', 'Bars', ' American (Traditional)', ' Nightlife', ' Lounges', ' Restaurants']"
206,206,"[' Arcades', 'Arts & Entertainment']"
207,207,"[' Bars', 'Pubs', ' Nightlife', 'Food', ' Coffee & Tea', ' Restaurants', 'Barbeque', ' Bed & Breakfast', 'Hotels & Travel', ' Event Planning & Services']"
208,208,"[' Restaurants', 'American (New)', ' Event Planning & Services', 'Arts & Entertainment', ' Venues & Event Spaces']"
209,209,"[' Restaurants', 'Mexican']"
210,210,"[' Real Estate', 'Home Services', ' Apartments']"
211,211,"[' Playgrounds', ' Parks', 'Active Life']"
212,212,"['Shopping', ' Wholesale Stores', 'Hotels & Travel', ' Event Planning & Services', ' Hotels', ' Gas & Service Stations', 'Food', ' Automotive', ' Convenience Stores']"
213,213,"[' Fitness & Instruction', ' Trainers', ' Gyms', 'Active Life']"
214,214,"[' Automotive', 'Auto Repair']"
215,215,"[' Restaurants', 'Pizza', 'Bars', ' American (Traditional)', ' Sports Bars', ' Nightlife', ' Burgers', 'Car Wash', ' Automotive', 'Food']"
216,216,"['Breakfast & Brunch', ' Diners', ' Restaurants', ' Bars', 'Pubs', ' Nightlife', ' Fitness & Instruction', ' Gyms', ' Trainers', 'Active Life']"
217,217,"[' Property Management', 'Real Estate Services', ' Home Services', ' Real Estate', ' Apartments', 'Home Services']"
218,218,"[' Restaurants', 'American (Traditional)', 'Mexican', 'Food', ' Coffee & Tea', ' Desserts', ' Fitness & Instruction', 'Active Life', ' Yoga', ' Gyms']"
219,219,"[' Restaurants', 'Fast Food']"
220,220,"['Food', ' Coffee & Tea', ' Bagels', ' Juice Bars & Smoothies', 'Tires', ' Automotive', 'Restaurants']"
221,221,"[' Arcades', 'Arts & Entertainment', ' Restaurants', 'American (New)']"
222,222,"[' Bars', 'Dive Bars', ' Nightlife']"
223,223,"['Food', ' Beer', ' Wine & Spirits', 'Oil Change Stations', ' Automotive']"
224,224,"[' Restaurants', 'Mexican', 'Bars', ' American (Traditional)', ' Nightlife', ' Body Shops', 'Automotive', ' Hotels', ' Event Planning & Services', 'Hotels & Travel']"
225,225,"['Bars', ' Nightlife']"
226,226,"['Veterinarians', ' Pets']"
227,227,"[' Public Services & Government', 'Landmarks & Historical Buildings']"
228,228,"[' Automotive', ' Body Shops', ' Windshield Installation & Repair', 'Auto Repair']"
229,229,['']
230,230,"['American (Traditional)', ' Restaurants']"
231,231,"[' Steakhouses', 'American (Traditional)', ' Restaurants', ' Music & Video', ' Mags', 'Books', ' Bookstores', ' Shopping']"
232,232,"[' Restaurants', 'Barbeque']"
